Date,Avg
2021-08-23,294.700012
2021-08-24,297.649994
2021-08-25,298.700012
2021-08-26,296.000000
2021-08-27,295.799988
2021-08-30,301.700012
2021-08-31,305.829987
2021-09-01,306.600006
2021-09-02,313.589996
2021-09-03,312.700012
2021-09-06,319.000000
2021-09-07,329.929993
2021-09-08,328.489990
2021-09-09,326.000000
2021-09-10,327.000000
2021-09-13,328.000000
2021-09-14,333.100006
2021-09-15,339.390015
2021-09-16,342.000000
2021-09-17,338.720001
2021-09-20,329.720001
2021-09-21,328.700012
2021-09-22,338.399994
2021-09-23,342.000000
2021-09-24,343.600006
2021-09-27,347.950012
2021-09-28,359.000000
2021-09-29,354.049988
2021-09-30,363.250000
2021-10-01,358.450012
2021-10-04,364.670013
2021-10-05,378.019989
2021-10-06,395.000000
2021-10-07,382.179993
2021-10-08,371.500000
2021-10-11,369.000000
2021-10-12,369.000000
2021-10-13,365.239990
2021-10-14,366.399994
2021-10-15,368.399994
2021-10-18,365.010010
2021-10-19,367.000000
2021-10-20,367.989990
2021-10-21,368.000000
2021-10-22,361.399994
2021-10-25,359.989990
2021-10-26,365.000000
2021-10-27,363.290009
2021-10-28,360.980011
2021-10-29,353.600006
2021-11-01,356.910004
2021-11-02,352.859985
2021-11-03,350.559998
2021-11-05,352.000000
2021-11-08,353.000000
2021-11-09,351.059998
2021-11-10,349.989990
2021-11-11,346.679993
2021-11-12,347.000000
2021-11-15,333.799988
2021-11-16,341.480011
2021-11-17,336.000000
2021-11-18,350.049988
2021-11-19,348.470001
2021-11-22,334.989990
2021-11-23,316.089996
2021-11-24,343.869995
2021-11-25,340.000000
2021-11-26,337.519989
2021-11-29,335.000000
2021-11-30,332.500000
2021-12-01,338.510010
2021-12-02,347.299988
2021-12-03,351.500000
2021-12-06,348.739990
2021-12-07,339.250000
2021-12-08,347.359985
2021-12-09,340.299988
2021-12-10,337.119995
2021-12-13,332.929993
2021-12-14,304.839996
2021-12-15,321.869995
2021-12-16,327.910004
2021-12-17,327.980011
2021-12-20,320.320007
2021-12-21,330.890015
2021-12-22,342.989990
2021-12-23,346.899994
2021-12-24,339.200012
2021-12-27,340.179993
2021-12-28,346.299988
2021-12-29,342.200012
2021-12-30,340.000000
2022-01-03,346.649994
2022-01-04,355.799988
2022-01-05,350.940002
2022-01-06,340.640015
2022-01-10,348.989990
2022-01-11,343.250000
2022-01-12,342.600006
2022-01-13,346.170013
2022-01-14,338.559998
2022-01-17,335.899994
2022-01-18,327.299988
2022-01-19,299.000000
2022-01-20,318.399994
2022-01-21,309.489990
2022-01-24,310.799988
2022-01-25,293.940002
2022-01-26,302.899994
2022-01-27,296.929993
2022-01-28,325.500000
2022-01-31,328.880005
2022-02-01,334.950012
2022-02-02,332.390015
2022-02-03,330.000000
2022-02-04,325.500000
2022-02-07,324.510010
2022-02-08,321.450012
2022-02-09,332.299988
2022-02-10,335.410004
2022-02-11,328.970001
2022-02-14,314.100006
2022-02-15,322.429993
2022-02-16,335.859985
2022-02-17,336.369995
2022-02-18,325.510010
2022-02-21,309.480011
2022-02-22,253.949997
2022-02-24,255.020004
2022-02-25,208.009995
2022-03-24,251.410004
2022-03-25,263.989990
2022-03-28,225.000000
2022-03-29,220.000000
2022-03-30,211.000000
2022-03-31,218.979996
2022-04-01,245.899994
2022-04-04,254.029999
2022-04-05,254.000000
2022-04-06,238.410004
2022-04-07,239.699997
2022-04-08,239.699997
2022-04-11,241.899994
2022-04-12,234.000000
2022-04-13,238.000000
2022-04-14,235.000000
2022-04-15,222.000000
2022-04-18,224.100006
2022-04-19,216.899994
2022-04-20,221.429993
2022-04-21,218.919998
2022-04-22,210.500000
2022-04-25,208.000000
2022-04-26,207.970001
2022-04-27,226.009995
2022-04-28,239.399994
2022-04-29,238.550003
